stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
22257,40AE2,Passage à Niveau - LOFFRE,,50.359503,3.161010,0,11113,0
10691,15AL,Lanvin,,50.353376,3.149222,1,,0
21366,15AL2,Lanvin,,50.354189,3.149621,0,10691,0
10673,15AJ,Mairie - GUESNAIN,,50.352052,3.144731,1,,0
21331,15AJ1,Mairie - GUESNAIN,,50.352128,3.144739,0,10673,0
10674,15AK,Centre - GUESNAIN,,50.349503,3.143700,1,,0
21333,15AK1,Centre - GUESNAIN,,50.349741,3.143764,0,10674,0
10377,13AH,Audegon,,50.350977,3.131158,1,,0
20749,13AH1,Audegon,,50.350979,3.131122,0,10377,0
10376,13AG,Iris,,50.348014,3.129082,1,,0
20747,13AG1,Iris,,50.347798,3.128838,0,10376,0
10375,13AF,Semail,,50.344877,3.126645,1,,0
20745,13AF1,Semail,,50.344954,3.126722,0,10375,0
10374,13AE,Rue du 8 Mai,,50.346628,3.123717,1,,0
20743,13AE1,Rue du 8 Mai,,50.346890,3.123481,0,10374,0
10373,13AD,Rue des Poilus,,50.349279,3.121038,1,,0
20741,13AD1,Rue des Poilus,,50.349305,3.121088,0,10373,0
10876,02AZ,Ecopark du Raquet,,50.348996,3.110504,1,,0
21730,02AZ1,Ecopark du Raquet,,50.349090,3.110170,0,10876,0
21715,02AY1,Sourcéane,,50.349225,3.100915,0,10869,0
21548,13AM3,Parc du Luc,,50.340870,3.101413,0,10653,0
21716,02AY2,Sourcéane,,50.349544,3.101174,0,10869,0
21731,02AZ2,Ecopark du Raquet,,50.348902,3.110838,0,10876,0
20742,13AD2,Rue des Poilus,,50.349253,3.120988,0,10373,0
20744,13AE2,Rue du 8 Mai,,50.346366,3.123952,0,10374,0
20746,13AF2,Semail,,50.344800,3.126567,0,10375,0
20748,13AG2,Iris,,50.348229,3.129327,0,10376,0
20750,13AH2,Audegon,,50.350976,3.131195,0,10377,0
21334,15AK2,Centre - GUESNAIN,,50.349266,3.143636,0,10674,0
21332,15AJ2,Mairie - GUESNAIN,,50.351976,3.144724,0,10673,0
21365,15AL1,Lanvin,,50.352563,3.148823,0,10691,0
22256,40AE1,Passage à Niveau - LOFFRE,,50.359638,3.160253,0,11113,0
21367,40AB1,Rue des Moines,,50.357695,3.165510,0,10692,0
21369,40AC1,Place - LOFFRE,,50.355469,3.172084,0,10693,0
21121,40AA2,Calvaire - LOFFRE,,50.356745,3.175392,0,10563,0
21453,14AE4,Gare - MONTIGNY EN OSTREVENT,,50.360688,3.189337,0,10502,0
21733,31AC2,Limonaderie,,50.361397,3.243809,0,10877,0
21735,31AA4,Brasserie - BRUILLE LEZ MARCHIENNES,,50.358604,3.244106,0,10700,0
21963,50AV2,Ecole Désiré Chevaillier,,50.358936,3.267190,0,10982,0
21853,50AI1,Collège Hugo,,50.362187,3.273726,0,10941,0
22130,50AY2,Mal. Leclerc,,50.362723,3.278856,0,11058,0
20725,12AA1,St Pol,,50.344970,3.092050,0,10365,0
22025,86AA2,Passage à Niveau - BRUNEMONT,,50.278334,3.145957,0,11012,0
22027,86AB2,Mairie - BRUNEMONT,,50.271617,3.141395,0,11013,0
22147,75AA2,Belvédère,,50.258390,3.155132,0,11066,0
22149,75AB2,Ecole - AUBENCHEUL AU BAC,,50.257587,3.158309,0,11067,0
11029,70AC2,Place - AUBIGNY AU BAC,,50.263397,3.160401,1,,0
22051,70AC2,Place - AUBIGNY AU BAC,,50.263397,3.160401,0,11029,0
22049,70AB2,Coteau,,50.265132,3.162540,0,11026,0
22047,70AA2,Centre - AUBIGNY AU BAC,,50.262583,3.164999,0,11024,0
22039,55AD2,Hosselet,,50.263659,3.206401,0,11019,0
21783,55AA2,Place de Gaulle - FECHAIN,,50.265973,3.210501,0,10900,0
